id,name,label,accumulatedTemp,hasClimate,soilType
RA001,华南双季稻稻作区,主区,"5800-9300°C"
RA002,华中双单季稻稻作区,主区,"4500-6500℃"
RA003,西南高原单双季稻稻作区,主区,"2900-8000℃"
RA004,华北单季稻稻作区,主区,"4000-5000℃"
RA005,东北早熟单季稻稻作区,主区,"2000-3700℃"
RA006,西北干燥区单季稻稻作区,主区,"3450-3700℃"
RS001,闽粤桂台平原丘陵双季稻亚区,亚区
RS002,滇南河谷盆地单季稻亚区,亚区
RS003,琼雷台地平原双季稻多熟亚区,亚区
RS004,长江中下游平原双单季稻亚区,亚区
RS005,川陕盆地单季稻两熟亚区,亚区
RS006,江南丘陵平原双季稻亚区,亚区
RS007,黔东湘西高原山地单双季稻亚区,亚区
RS008,滇川高原岭谷单季稻两熟亚区,亚区
RS009,青藏高原河谷单季稻亚区,亚区
RS010,华北北部平原中早熟亚区,亚区
RS011,黄淮海平原丘陵中晚熟亚区,亚区
RS012,黑吉平原河谷特早熟亚区,亚区
RS013,辽河沿海平原早熟亚区,亚区
RS014,北疆盆地早熟亚区,亚区
RS015,南疆盆地中熟亚区,亚区
RS016,甘宁晋蒙高原早中熟亚区,亚区
